Date,Close,Open,High,Low,7_day_MA,14_day_MA,30_day_MA,Daily_Change,Volatility
2013-06-07,111.0,119.0,119.1,106.2,120.82857142857142,125.71428571428574,122.66666666666667,-0.0672268907563025,5.415937679883202
2013-06-08,107.9,111.0,113.2,107.0,117.77142857142857,123.99285714285715,122.50333333333334,-0.027927927927927865,5.858815092295728
2013-06-09,100.4,107.9,109.0,88.0,114.61428571428573,121.62857142857145,121.92666666666668,-0.06950880444856344,8.322545398179578
2013-06-10,106.3,100.4,110.6,95.0,112.55714285714285,119.95,121.61666666666666,0.05876494023904377,8.34722651400984
2013-06-11,109.0,106.3,109.6,103.2,110.78571428571429,118.52142857142859,121.42333333333333,0.02539981185324547,7.422360040541495
2013-06-12,108.8,109.0,112.3,106.0,108.91428571428571,116.84285714285714,121.11666666666666,-0.0018348623853211565,5.574474137060883
2013-06-13,103.9,108.8,110.3,100.3,106.75714285714287,115.06428571428572,120.86666666666669,-0.04503676470588225,3.5892697227787393
2013-06-14,100.0,103.9,104.7,97.1,105.1857142857143,113.00714285714287,120.39333333333335,-0.037536092396535214,3.8224898392837883
2013-06-15,99.8,100.0,103.7,97.5,104.02857142857144,110.9,119.78,-0.0020000000000000018,4.081141296955259
2013-06-16,99.9,99.8,101.8,98.9,103.95714285714284,109.28571428571429,118.99333333333334,0.0010020040080160886,4.158868893844798
2013-06-17,101.9,99.9,102.4,98.9,103.32857142857142,107.94285714285715,118.28333333333333,0.020020020020020013,4.077464197968358
2013-06-18,107.3,101.9,113.3,101.0,103.08571428571429,106.93571428571428,117.77666666666666,0.05299313052011767,3.7181664708242157
2013-06-19,108.3,107.3,111.0,104.7,103.01428571428572,105.96428571428571,117.32,0.009319664492078328,3.5927837727999643
2013-06-20,111.3,108.3,114.5,107.1,104.07142857142857,105.41428571428571,116.93333333333335,0.027700831024930705,4.787036064801857
2013-06-21,109.5,111.3,115.0,107.6,105.42857142857143,105.30714285714285,116.45666666666668,-0.016172506738544423,4.787036064801841
2013-06-22,108.2,109.5,110.0,107.5,106.62857142857142,105.32857142857144,115.85333333333332,-0.01187214611872145,4.151591777344367
2013-06-23,107.9,108.2,109.0,106.2,107.77142857142859,105.86428571428571,115.01333333333334,-0.0027726432532346745,2.904430113759539
2013-06-24,102.1,107.9,108.3,100.8,107.79999999999998,105.56428571428572,114.01666666666667,-0.053753475440222576,2.837252191822045
2013-06-25,103.3,102.1,110.0,100.0,107.22857142857143,105.15714285714286,113.01,0.01175318315377094,3.316983713010968
2013-06-26,104.0,103.3,105.5,101.8,106.61428571428573,104.81428571428572,112.15,0.006776379477250849,3.479668840291328
2013-06-27,101.7,104.0,104.0,100.1,105.24285714285713,104.65714285714286,111.24,-0.022115384615384537,3.20616964765172
2013-06-28,94.7,101.7,101.8,92.3,103.12857142857142,104.27857142857142,109.98666666666666,-0.06882989183874144,4.535311193186995
2013-06-29,95.0,94.7,100.4,93.0,101.24285714285715,103.93571428571428,108.85999999999999,0.0031678986272438703,4.811048791707518
2013-06-30,97.5,95.0,98.1,93.8,99.75714285714285,103.7642857142857,107.81666666666666,0.026315789473684292,3.9394826829831238
2013-07-01,88.1,97.5,98.2,86.0,97.75714285714287,102.77857142857144,106.44333333333334,-0.09641025641025647,5.708431525050547
2013-07-02,90.4,88.1,92.6,87.5,95.91428571428571,101.57142857142857,105.37333333333332,0.026106696935300988,5.703048474698653
2013-07-03,78.9,90.4,91.2,76.0,92.32857142857142,99.47142857142856,103.98,-0.12721238938053092,7.407814406808229
2013-07-04,80.0,78.9,84.3,72.0,89.22857142857143,97.23571428571428,102.6,0.0139416983523446,7.372858849798313
2013-07-05,68.5,80.0,80.6,65.4,85.48571428571428,94.30714285714285,100.82,-0.14375000000000004,10.229276379006356
2013-07-06,69.7,68.5,75.0,66.8,81.87142857142858,91.55714285714285,99.17666666666668,0.01751824817518255,10.763009846338688
2013-07-07,76.5,69.7,77.0,66.6,78.87142857142858,89.31428571428572,98.02666666666667,0.09756097560975596,8.333209522889959
2013-07-08,76.0,76.5,80.0,72.5,77.14285714285714,87.45,96.96333333333334,-0.006535947712418277,7.289457488468786
2013-07-09,76.7,76.0,78.3,72.5,75.18571428571428,85.55,96.17333333333333,0.009210526315789558,4.4054619778291855
2013-07-10,88.0,76.7,89.8,75.5,76.48571428571428,84.40714285714286,95.56333333333333,0.1473272490221642,6.519567616396438
2013-07-11,89.0,88.0,90.7,85.0,77.77142857142857,83.5,94.89666666666668,0.011363636363636465,8.038597366397367
2013-07-12,94.0,89.0,104.2,88.0,81.41428571428571,83.45000000000002,94.40333333333334,0.05617977528089879,8.8715704305813
2013-07-13,98.3,94.0,98.3,87.8,85.5,83.6857142857143,94.21666666666667,0.04574468085106376,9.158602513484361
2013-07-14,94.4,98.3,99.0,92.9,88.05714285714285,83.46428571428571,94.02999999999999,-0.039674465920650936,8.715093639362623
2013-07-15,98.9,94.4,101.9,93.1,91.32857142857142,84.23571428571428,94.0,0.04766949152542366,7.6702269166161035
2013-07-16,97.1,98.9,100.7,96.0,94.24285714285715,84.71428571428571,93.90666666666667,-0.018200202224469275,4.336994790119607
2013-07-17,98.5,97.1,100.0,96.2,95.74285714285715,86.11428571428571,93.79333333333334,0.014418125643666402,3.565041908522872
2013-07-18,90.1,98.5,98.8,86.2,95.9,86.83571428571429,93.22000000000001,-0.08527918781725896,3.2264531609804235
2013-07-19,92.0,90.1,95.2,87.6,95.61428571428573,88.51428571428572,92.67666666666668,0.021087680355160954,3.4997278805781233
2013-07-20,89.8,92.0,93.1,89.3,94.39999999999999,89.95,91.96,-0.023913043478260954,3.8678159211628413
2013-07-21,92.0,89.8,92.0,88.0,94.05714285714285,91.05714285714285,91.37666666666665,0.024498886414253906,3.9727644207601767
2013-07-22,91.6,92.0,92.0,89.8,93.01428571428572,92.17142857142856,90.82333333333332,-0.004347826086956608,3.407554632200265
2013-07-23,95.6,91.6,97.1,91.6,92.8,93.52142857142857,90.41333333333334,0.04366812227074246,3.1448370387034275
2013-07-24,95.1,95.6,96.0,92.3,92.3142857142857,94.02857142857142,90.18,-0.005230125523012608,2.2542024246791925
2013-07-25,96.9,95.1,97.5,93.6,93.28571428571429,94.59285714285714,89.96666666666667,0.018927444794952786,2.582265524320864
2013-07-26,96.0,96.9,97.5,96.0,93.85714285714286,94.73571428571428,89.7,-0.009287925696594534,2.6906363205614796
2013-07-27,94.4,96.0,97.0,93.0,94.51428571428572,94.45714285714284,89.45666666666666,-0.016666666666666607,2.0103304632396393
2013-07-28,98.8,94.4,100.6,94.0,95.48571428571428,94.77142857142859,89.59333333333333,0.0466101694915253,2.2244314415364324
2013-07-29,101.5,98.8,102.8,98.4,96.89999999999999,94.95714285714287,89.81,0.027327935222672073,2.475210428765017
2013-07-30,108.0,101.5,108.0,100.5,98.67142857142856,95.7357142857143,90.16000000000001,0.0640394088669951,4.766450211535607
2013-07-31,106.2,108.0,111.7,103.6,100.25714285714287,96.28571428571429,90.76333333333332,-0.016666666666666607,5.206360578771942
2013-08-01,104.0,106.2,108.0,103.0,101.27142857142857,97.27857142857142,91.21666666666667,-0.020715630885122405,5.134430927803088
2013-08-02,104.5,104.0,108.0,101.2,102.48571428571428,98.17142857142856,92.07,0.004807692307692291,4.663485310161816
2013-08-03,104.9,104.5,105.9,102.0,103.98571428571428,99.25,92.9,0.003827751196172402,3.0328361706651656
2013-08-04,105.1,104.9,106.0,103.5,104.88571428571429,100.18571428571428,94.11999999999999,0.0019065776930409228,1.9945162917596972
2013-08-05,106.7,105.1,107.8,105.0,105.62857142857145,101.26428571428572,95.35333333333332,0.015223596574690745,1.4044148078044818
2013-08-06,106.6,106.7,107.5,105.1,105.42857142857143,102.05,96.35666666666665,-0.0009372071227742307,1.0703804397100347
2013-08-07,106.0,106.6,107.0,105.2,105.39999999999999,102.82857142857144,97.35666666666665,-0.0056285178236397115,1.0488088481699431
2013-08-08,103.1,106.0,106.7,101.0,105.27142857142857,103.27142857142857,98.23666666666666,-0.027358490566037785,1.2789504625722845
2013-08-09,102.8,103.1,105.8,101.9,105.02857142857142,103.75714285714285,98.73,-0.0029097963142580285,1.5766148184366013
2013-08-10,103.0,102.8,103.9,102.4,104.75714285714285,104.37142857142858,99.19666666666667,0.0019455252918287869,1.755806692906924
2013-08-11,105.0,103.0,105.2,102.7,104.74285714285713,104.8142857142857,99.56333333333333,0.01941747572815533,1.752956685961393
2013-08-12,106.8,105.0,108.1,103.5,104.75714285714287,105.19285714285714,99.84666666666665,0.017142857142857126,1.7718701446560399
2013-08-13,109.6,106.8,109.6,104.5,105.18571428571428,105.30714285714285,100.35333333333334,0.02621722846441954,2.5036164319030205
2013-08-14,112.6,109.6,115.0,108.0,106.12857142857142,105.76428571428572,100.81,0.027372262773722733,3.7792037458147805
2013-08-15,110.0,112.6,113.3,108.8,107.11428571428571,106.19285714285715,101.24,-0.023090586145648295,3.7574053864461723
2013-08-16,109.0,110.0,112.3,108.2,108.0,106.51428571428572,101.58999999999999,-0.009090909090909038,3.2700662582481077
2013-08-17,112.8,109.0,114.0,108.2,109.4,107.07857142857142,102.34666666666665,0.034862385321100975,2.8425340807102755
2013-08-18,113.4,112.8,114.7,112.0,110.60000000000001,107.67142857142858,103.05999999999999,0.005319148936170359,2.41660919471879
2013-08-19,118.5,113.4,123.8,111.8,112.27142857142857,108.51428571428572,104.01666666666667,0.04497354497354489,3.252032331591067
2013-08-20,121.2,118.5,123.0,116.8,113.92857142857143,109.55714285714285,104.99000000000001,0.0227848101265824,4.412374374307659
2013-08-21,123.3,121.2,125.0,119.7,115.45714285714287,110.79285714285713,106.04666666666667,0.017326732673267342,5.575499123503626
2013-08-22,122.0,123.3,124.5,120.5,117.17142857142858,112.14285714285714,106.92666666666666,-0.010543390105433925,5.461597533601942
2013-08-23,118.5,122.0,122.0,118.4,118.52857142857144,113.26428571428572,107.70666666666666,-0.02868852459016391,4.104353089795449
2013-08-24,119.6,118.5,121.4,118.0,119.5,114.45,108.46333333333332,0.009282700421940904,3.2352228156134464
2013-08-25,122.1,119.6,123.0,119.1,120.74285714285713,115.67142857142858,109.33333333333333,0.020903010033444858,1.8946038661216003
2013-08-26,120.1,122.1,123.0,119.9,120.97142857142856,116.62142857142858,110.19000000000001,-0.016380016380016404,1.6610381148687479
2013-08-27,131.3,120.1,133.0,120.0,122.4142857142857,118.17142857142856,111.27333333333333,0.09325562031640322,4.254577366957579
2013-08-28,128.8,131.3,131.7,128.0,123.2,119.32857142857142,112.18333333333334,-0.01904036557501909,4.9037400692395785
2013-08-29,129.3,128.8,131.2,128.2,124.24285714285715,120.70714285714287,112.89333333333335,0.0038819875776396895,5.36092564857254
2013-08-30,138.0,129.3,142.8,128.6,127.02857142857144,122.77857142857144,113.95333333333335,0.06728538283062635,6.762572066335408
2013-08-31,141.0,138.0,148.7,135.9,130.08571428571426,124.79285714285716,115.18666666666668,0.021739130434782705,7.62658258361901
2013-09-01,146.0,141.0,147.3,141.0,133.5,127.12142857142858,116.57000000000001,0.03546099290780136,8.72620574285671
2013-09-02,144.0,146.0,148.5,142.1,136.91428571428574,128.94285714285715,117.87333333333335,-0.013698630136986356,7.141061679103491
2013-09-03,144.0,144.0,148.9,142.2,138.72857142857146,130.57142857142858,119.17000000000002,0.0,7.090066827544435
